frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
243,8.11,-0.63,15.31,-2.08,4,2.7,SLOW DOWN,CAUTION,7.4,60
244,8.14,-0.63,15.31,-2.18,2,2.1,SLOW DOWN,CAUTION,7.4,52
245,8.17,-0.63,15.4,-2.17,4,1.6,SLOW DOWN,CAUTION,7.4,51
246,8.21,-0.63,15.4,-2.17,3,3.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,49
247,8.24,-0.63,15.4,-2.22,2,2.5,SLOW DOWN,CAUTION,7.4,45
248,8.27,-0.63,15.41,-2.21,2,1.9,SLOW DOWN,CAUTION,7.4,45
249,8.31,-0.63,15.41,-2.29,1,1.5,SLOW DOWN,CAUTION,7.4,44
250,8.34,-0.63,15.42,-2.33,1,1.2,SLOW DOWN,CAUTION,7.3,42
251,8.38,-0.63,15.42,-2.32,1,0.9,SLOW DOWN,CAUTION,7.3,41
252,8.41,-0.63,15.42,-2.25,0,0.7,SLOW DOWN,CAUTION,7.3,41
253,8.44,-0.63,15.42,-2.21,0,2.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,39
254,8.48,-0.64,15.47,-2.38,2,3.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,159
255,8.51,-0.64,15.56,-2.39,4,3.0,SLOW DOWN,CAUTION,7.4,152
256,8.54,-0.64,15.67,-2.37,6,2.4,SLOW DOWN,CAUTION,7.4,148
257,8.58,-0.65,15.72,-2.35,6,1.8,SLOW DOWN,CAUTION,7.5,141
258,8.61,-0.65,15.8,-2.29,7,1.4,SLOW DOWN,CAUTION,7.6,132
259,8.64,-0.65,15.9,-2.25,8,1.1,SLOW DOWN,CAUTION,7.5,126
260,8.68,-0.66,16.0,-2.22,9,0.9,SLOW DOWN,CAUTION,7.5,122
261,8.71,-0.66,16.07,-2.25,8,0.7,SLOW DOWN,CAUTION,7.4,121
262,8.74,-0.66,16.13,-2.23,8,0.5,SLOW DOWN,CAUTION,7.4,117
263,8.78,-0.66,16.2,-2.21,8,2.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,114
264,8.81,-0.67,16.3,-2.21,9,3.8,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.3,111
265,8.84,-0.67,16.36,-2.18,8,2.9,SLOW DOWN,CAUTION,7.3,108
266,8.88,-0.67,16.42,-2.2,8,2.3,SLOW DOWN,CAUTION,7.3,106
267,8.91,-0.68,16.53,-2.3,9,3.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.3,99
268,8.94,-0.68,16.6,-2.34,8,2.9,SLOW DOWN,CAUTION,7.3,98
269,8.98,-0.69,16.72,-2.35,10,2.3,SLOW DOWN,CAUTION,7.3,95
270,9.01,-0.69,16.84,-2.35,11,-1.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.0,90
271,9.04,-0.69,16.89,-2.3,9,-4.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.0,88
272,9.08,-0.7,17.02,-2.33,10,-0.1,STEER LEFT (HAZARD AHEAD),CRITICAL,5.0,80
273,9.11,-0.7,17.15,-2.38,12,1.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,77
274,9.14,-0.7,17.19,-2.36,9,1.5,SLOW DOWN,CAUTION,7.1,75
275,9.18,-0.71,17.34,-2.36,11,1.1,SLOW DOWN,CAUTION,7.1,73
276,9.21,-0.72,17.49,-2.47,13,0.9,SLOW DOWN,CAUTION,7.1,68
277,9.24,-0.72,17.49,-2.5,8,0.7,SLOW DOWN,CAUTION,7.1,63
278,9.28,-0.72,17.57,-2.53,8,0.5,SLOW DOWN,CAUTION,7.1,61
279,9.31,-0.72,17.61,-2.55,7,0.4,SLOW DOWN,CAUTION,7.1,56
280,9.34,-0.72,17.61,-2.58,4,0.3,SLOW DOWN,CAUTION,7.2,55
281,9.38,-0.73,17.67,-3.36,5,0.3,SLOW DOWN,CAUTION,7.2,54
282,9.41,-0.73,17.67,-3.58,3,0.2,SLOW DOWN,CAUTION,7.2,53
283,9.44,-0.73,17.71,-3.6,3,2.1,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.2,52
284,9.48,-0.73,17.77,-3.59,4,3.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,51
285,9.51,-0.73,17.77,-2.22,3,4.8,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,51
286,9.54,-0.73,17.79,2.36,2,5.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,50
287,9.58,-0.73,17.79,-2.22,1,6.4,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,50
288,9.61,-0.73,17.82,-2.23,2,7.0,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
289,9.64,-0.73,17.82,-2.25,1,5.4,SLOW DOWN,CAUTION,7.0,50
290,9.68,-0.73,17.82,-2.26,1,4.2,SLOW DOWN,CAUTION,7.1,50
291,9.71,-0.73,17.86,-2.29,2,3.3,SLOW DOWN,CAUTION,7.0,50
292,9.74,-0.73,17.86,-2.31,1,2.6,SLOW DOWN,CAUTION,7.1,50
293,9.78,-0.73,17.86,-4.69,1,2.0,SLOW DOWN,CAUTION,7.1,50
294,9.81,-0.74,17.89,-4.73,1,1.6,SLOW DOWN,CAUTION,7.1,50
295,9.84,-0.74,17.89,-4.78,1,1.2,SLOW DOWN,CAUTION,7.1,50
296,9.88,-0.74,17.91,-4.81,1,2.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.2,50
297,9.91,-0.74,17.97,-4.8,3,2.3,SLOW DOWN,CAUTION,7.1,50
298,9.94,-0.74,17.97,-4.83,2,3.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,50
299,9.98,-0.74,17.97,-4.87,1,4.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,50
300,10.01,-0.74,17.97,-4.89,1,3.8,SLOW DOWN,CAUTION,7.0,50
301,10.04,-0.74,17.97,-4.9,0,3.0,SLOW DOWN,CAUTION,7.1,50
302,10.08,-0.74,17.97,-4.94,0,2.3,SLOW DOWN,CAUTION,7.1,50
303,10.11,-0.74,17.97,-4.94,0,1.8,SLOW DOWN,CAUTION,7.1,50
304,10.14,-0.75,18.01,-5.03,1,3.4,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
305,10.18,-0.75,18.01,-5.05,1,4.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
306,10.21,-0.75,18.01,-5.08,1,5.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
307,10.24,-0.75,18.01,-5.1,0,6.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
308,10.28,-0.75,18.03,-5.13,0,6.9,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
309,10.31,-0.75,18.03,-5.14,0,7.4,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.9,50
310,10.34,-0.75,18.03,-5.16,0,7.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
311,10.38,-0.75,18.04,-5.2,0,6.0,SLOW DOWN,CAUTION,7.0,50
312,10.41,-0.75,18.04,-5.2,0,6.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,50
313,10.44,-0.75,18.04,-5.24,0,5.2,SLOW DOWN,CAUTION,6.9,50
314,10.48,-0.82,18.55,-9.82,15,4.1,SLOW DOWN,CAUTION,7.1,47
315,10.51,-0.82,18.55,-9.85,9,3.2,SLOW DOWN,CAUTION,7.1,20
316,10.54,-0.82,18.6,-9.93,8,4.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.9,112
317,10.58,-0.83,18.65,-10.03,7,0.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.5,110
318,10.61,-0.85,18.71,-9.83,7,-2.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.5,108
319,10.64,-0.85,18.74,-9.81,6,-5.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.5,107
320,10.68,-0.86,18.8,-9.4,6,-7.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.5,104
321,10.71,-0.87,18.84,-9.39,6,-8.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.6,94
322,10.74,-0.87,18.88,-9.48,5,-9.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.6,93
323,10.78,-0.88,18.93,-9.62,5,-10.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.6,93
324,10.81,-0.89,18.98,-9.79,5,-11.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.7,91
325,10.84,-0.9,19.01,-9.72,5,-12.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.7,91
326,10.88,-0.91,19.06,-9.83,5,-12.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.7,89
327,10.91,-0.91,19.11,-9.91,5,-12.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,84
328,10.94,-0.92,19.15,-9.96,5,-13.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,84
329,10.98,-0.93,19.2,-10.04,5,-13.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,84
330,11.01,-0.94,19.25,-10.0,5,-13.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,84
331,11.04,-0.94,19.28,-10.09,5,-13.6,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,84
332,11.08,-0.95,19.31,-10.18,4,-13.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,81
333,11.11,-0.95,19.32,-10.18,4,-13.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,80
334,11.14,-0.96,19.37,-10.41,4,-13.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,80
335,11.18,-0.97,19.42,-10.52,4,-13.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,80
336,11.21,-0.98,19.47,-10.69,5,-13.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,80
337,11.24,-0.99,19.55,-10.74,6,-13.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,78
338,11.28,-1.0,19.58,-10.91,5,-13.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,77
339,11.31,-1.01,19.66,-10.99,6,-13.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.8,77
340,11.34,-1.03,19.73,-11.23,7,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.3,76
341,11.38,-1.05,19.84,-11.42,8,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.3,76
342,11.41,-1.07,19.92,-11.68,8,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.3,75
343,11.44,-1.08,19.97,-11.8,8,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.9,72
344,11.48,-1.09,20.02,-11.88,7,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,72
345,11.51,-1.1,20.1,-11.95,7,-14.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,72
346,11.54,-1.11,20.13,-12.2,6,-7.8,STEER LEFT (HAZARD AHEAD),CRITICAL,6.0,71
347,11.58,-1.12,20.16,-12.24,5,-6.1,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,69
348,11.61,-1.12,20.19,-12.41,5,-4.7,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,69
349,11.64,-1.13,20.23,-12.6,5,-3.7,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,68
350,11.68,-1.14,20.28,-12.65,5,-2.9,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,68
351,11.71,-1.16,20.35,-12.73,6,-2.3,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,68
352,11.75,-1.17,20.39,-12.84,5,-1.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,67
353,11.78,-1.18,20.43,-13.03,5,-3.3,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.2,62
354,11.81,-1.19,20.48,-13.09,5,-4.5,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.2,62
355,11.85,-1.2,20.53,-13.12,5,-5.5,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.1,62
356,11.88,-1.21,20.58,-13.21,5,-2.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.0,61
357,11.91,-1.22,20.61,-13.32,5,-3.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.9,60
358,11.95,-1.23,20.64,-13.39,4,-3.0,SLOW DOWN,CAUTION,6.9,60
359,11.98,-1.24,20.7,-13.43,5,-2.3,SLOW DOWN,CAUTION,7.2,59
360,12.01,-1.26,20.8,-13.59,7,0.1,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.3,59
361,12.05,-1.27,20.83,-13.79,6,2.0,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.3,58
362,12.08,-1.3,20.93,-13.97,7,3.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.3,55
363,12.11,-1.31,20.99,-14.73,7,4.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.4,55
364,12.15,-1.33,21.06,-14.38,7,5.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,55
365,12.18,-1.36,21.16,-14.48,8,6.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,55
366,12.21,-1.37,21.2,-16.16,7,8.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,55
367,12.25,-1.38,21.23,-16.94,6,9.3,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,54
368,12.28,-1.41,21.32,-17.1,8,10.3,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,54
369,12.31,-1.42,21.38,-17.29,7,10.0,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,54
370,12.35,-1.44,21.42,-17.46,6,9.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,54
371,12.38,-1.45,21.47,-17.54,6,9.5,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,54
372,12.41,-1.46,21.49,-17.69,5,9.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.5,53
373,12.45,-1.52,21.7,-17.85,10,9.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,46
374,12.48,-1.53,21.72,-18.0,8,9.2,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,46
375,12.51,-1.54,21.75,-19.43,7,9.1,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,45
376,12.55,-1.55,21.76,-19.03,5,5.2,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.7,44
377,12.58,-1.55,21.79,-18.77,5,7.2,STEER LEFT (HAZARD AHEAD),CRITICAL,4.1,44
378,12.61,-1.56,21.8,-18.61,4,2.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,44
379,12.65,-1.57,21.83,-18.77,4,5.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.1,43
380,12.68,-1.57,21.83,-18.83,2,0.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,43
381,12.71,-1.58,21.86,-18.88,2,-1.2,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,43
382,12.75,-1.59,21.9,-18.94,3,2.1,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,43
383,12.78,-1.6,21.91,-19.0,3,-1.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.0,42
384,12.81,-1.6,21.93,-18.96,2,-4.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.0,42
385,12.85,-1.6,21.93,-19.04,1,-6.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.0,42
386,12.88,-1.6,21.93,-19.1,1,-6.9,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,42
387,12.91,-1.6,21.93,-19.2,1,-7.3,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,42
388,12.95,-1.6,21.93,-19.28,0,-7.6,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,42
389,12.98,-1.6,21.93,-19.33,0,-5.9,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
390,13.01,-1.6,21.93,-19.73,0,-4.6,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
391,13.05,-1.61,21.95,-20.03,1,-3.5,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,40
392,13.08,-1.61,21.95,-18.74,0,-5.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.5,40
393,13.11,-1.61,21.95,-18.92,0,-7.6,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.5,40
394,13.15,-1.61,21.95,-19.0,0,-9.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,40
395,13.18,-1.61,21.97,-15.96,1,-10.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,40
396,13.21,-1.61,21.97,-16.06,0,-11.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,39
397,13.25,-1.63,22.01,-16.09,2,-10.5,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.7,158
398,13.28,-1.64,22.05,-16.18,2,-10.0,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.7,148
399,13.31,-1.66,22.12,-16.22,4,-9.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,146
400,13.35,-1.68,22.19,-16.28,5,-9.5,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,142
401,13.38,-1.7,22.25,-16.37,6,-9.3,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,135
402,13.41,-1.71,22.29,-16.64,5,-9.2,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,126
403,13.45,-1.72,22.32,-16.56,5,-9.1,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,119
404,13.48,-1.72,22.34,-16.25,4,-9.0,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,113
405,13.51,-1.73,22.36,-16.52,3,-8.9,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,107
406,13.55,-1.74,22.38,-16.59,3,-8.9,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,105
407,13.58,-1.74,22.4,-16.38,3,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,103
408,13.61,-1.75,22.43,-17.67,3,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,101
409,13.65,-1.76,22.45,-15.93,3,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,100
410,13.68,-1.76,22.47,-15.82,3,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,99
411,13.71,-1.77,22.49,-15.6,3,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,98
412,13.75,-1.77,22.51,-15.64,2,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.4,97
413,13.78,-1.78,22.52,-17.61,2,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.4,95
414,13.81,-1.79,22.57,-17.65,3,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.4,95
415,13.85,-1.8,22.59,-17.75,3,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,93
416,13.88,-1.8,22.6,-17.82,2,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.4,93
417,13.91,-1.81,22.62,-17.88,2,-8.8,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.4,93
418,13.95,-1.82,22.65,-17.94,3,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.5,92
419,13.98,-1.83,22.68,-17.95,3,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,92
420,14.01,-1.83,22.69,-17.98,2,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,91
421,14.05,-1.84,22.72,-18.02,3,-8.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.6,91
422,14.08,-1.85,22.75,-18.03,3,-6.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,91
423,14.11,-1.86,22.77,-17.24,3,-5.2,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,90
424,14.15,-1.87,22.8,-17.49,3,-4.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,89
425,14.18,-1.87,22.82,-17.5,3,-3.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,88
426,14.21,-1.88,22.85,-16.93,3,-5.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,87
427,14.25,-1.89,22.86,-17.17,3,-7.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,85
428,14.28,-1.89,22.88,-17.41,2,-8.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,85
429,14.31,-1.9,22.9,-17.4,2,-9.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,84
430,14.35,-1.9,22.92,-17.43,2,-10.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,84
431,14.38,-1.91,22.94,-17.51,2,-11.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,83
432,14.41,-1.92,22.96,-13.84,2,-12.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,83
433,14.45,-1.92,22.99,-14.15,3,-12.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,80
434,14.48,-1.93,23.02,-14.4,3,-12.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,80
435,14.51,-1.94,23.05,-14.58,3,-13.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,80
436,14.55,-1.94,23.07,-14.09,3,-13.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,80
437,14.58,-1.95,23.11,-14.07,3,-13.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,80
438,14.61,-1.96,23.14,-14.06,3,-13.6,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,79
439,14.65,-1.97,23.16,-13.17,3,-13.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,78
440,14.68,-1.97,23.19,-13.17,3,-13.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,75
441,14.71,-1.98,23.22,-13.04,3,-13.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.5,75
442,14.75,-1.99,23.25,-13.03,3,-13.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.4,74
443,14.78,-2.0,23.29,-13.01,3,-7.7,STEER LEFT (HAZARD AHEAD),CRITICAL,6.3,73
444,14.81,-2.0,23.31,-12.98,3,-2.9,STEER LEFT (HAZARD AHEAD),CRITICAL,6.2,73
445,14.85,-2.01,23.34,-13.06,3,0.8,STEER LEFT (HAZARD AHEAD),CRITICAL,6.2,73
446,14.88,-2.02,23.38,-13.03,4,3.7,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,73
447,14.91,-2.03,23.42,-13.12,4,-0.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,73
448,14.95,-2.03,23.45,-13.16,4,2.9,STEER LEFT (HAZARD AHEAD),CRITICAL,4.1,72
449,14.98,-2.04,23.49,-13.11,4,-0.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,68
450,15.02,-2.05,23.53,-13.07,4,-3.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.8,68
451,15.05,-2.06,23.57,-13.0,4,0.2,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,68
452,15.08,-2.07,23.62,-12.96,5,3.2,STEER LEFT (HAZARD AHEAD),CRITICAL,5.6,68
453,15.12,-2.08,23.66,-12.92,5,5.6,STEER LEFT (HAZARD AHEAD),CRITICAL,5.6,66
454,15.15,-2.09,23.71,-13.16,5,7.4,STEER LEFT (HAZARD AHEAD),CRITICAL,5.6,65
455,15.18,-2.1,23.76,-13.14,5,8.9,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,64
456,15.22,-2.12,23.8,-13.11,5,10.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,63
457,15.25,-2.13,23.86,-12.96,5,10.9,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,62
458,15.28,-2.14,23.91,-12.79,5,5.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.0,62
459,15.32,-2.15,23.97,-12.71,6,1.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.0,62
460,15.35,-2.17,24.04,-12.68,6,4.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,62
461,15.38,-2.18,24.11,-11.97,7,6.2,STEER LEFT (HAZARD AHEAD),CRITICAL,4.0,60
462,15.42,-2.19,24.14,-11.85,6,4.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,55
463,15.45,-2.19,24.16,-11.83,5,3.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,41
464,15.48,-2.22,24.26,-11.87,7,2.9,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,34
465,15.52,-2.23,24.33,-11.84,7,5.3,STEER LEFT (HAZARD AHEAD),CRITICAL,6.0,158
466,15.55,-2.24,24.39,-11.86,7,1.1,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.0,152
467,15.58,-2.26,24.46,-11.82,7,-2.2,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.8,139
468,15.62,-2.27,24.53,-11.83,7,1.3,STEER LEFT (HAZARD AHEAD),CRITICAL,5.6,128
469,15.65,-2.28,24.59,-11.79,7,-2.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,5.6,122
470,15.68,-2.29,24.63,-11.74,6,1.5,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,119
471,15.72,-2.3,24.69,-11.71,6,4.2,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,116
472,15.75,-2.32,24.75,-11.63,7,6.4,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,116
473,15.78,-2.33,24.8,-11.61,6,8.1,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,109
474,15.82,-2.34,24.87,-11.77,7,9.4,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,108
475,15.85,-2.35,24.93,-11.75,7,10.4,STEER LEFT (HAZARD AHEAD),CRITICAL,5.8,106
476,15.88,-2.37,25.0,-11.69,7,8.0,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,106
477,15.92,-2.38,25.04,-11.77,6,6.3,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,103
478,15.95,-2.39,25.09,-11.75,6,4.9,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,98
479,15.98,-2.4,25.12,-11.58,5,3.8,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,96
480,16.02,-2.4,25.15,-11.59,5,6.0,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,91
481,16.05,-2.41,25.17,-11.59,4,7.8,STEER LEFT (HAZARD AHEAD),CRITICAL,5.7,89
482,16.08,-2.42,25.22,-11.57,4,9.1,STEER LEFT (HAZARD AHEAD),CRITICAL,4.1,86
483,16.12,-2.42,25.24,-11.54,4,10.2,STEER LEFT (HAZARD AHEAD),CRITICAL,4.1,85
484,16.15,-2.43,25.27,-11.53,4,4.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,83
485,16.18,-2.43,25.29,-11.53,3,0.7,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,78
486,16.22,-2.44,25.32,-11.51,3,-2.5,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.1,78
