frame,time_sec,vo_x,vo_y,vo_theta_deg,speed_kmh,steering_deg,action,alert_level,min_obs_dist,features
53,1.77,-0.01,2.76,-0.92,6,-3.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.8,85
54,1.8,-0.02,2.82,-0.93,6,-0.6,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.8,81
55,1.84,-0.02,2.88,-2.58,6,-2.4,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.8,79
56,1.87,-0.02,2.93,-2.59,6,-3.9,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.7,79
57,1.9,-0.02,2.97,-2.74,5,-5.1,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.7,78
58,1.94,-0.02,3.03,-2.81,6,-6.0,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.7,74
59,1.97,-0.03,3.11,-2.8,6,-4.6,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,74
60,2.0,-0.03,3.18,-2.8,7,-3.5,MAINTAIN COURSE (PATH CLEAR),NORMAL,99.0,74
61,2.04,-0.03,3.22,-3.09,6,-4.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.2,74
62,2.07,-0.04,3.3,-3.11,7,-5.6,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.2,72
63,2.1,-0.04,3.34,-3.12,6,-2.4,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.2,67
64,2.14,-0.04,3.4,-3.13,6,0.1,STEER LEFT (CLEAR CORRIDOR),CAUTION,7.1,66
65,2.17,-0.05,3.51,-3.13,8,-1.9,STEER RIGHT (CLEAR CORRIDOR),CAUTION,7.0,66
66,2.2,-0.05,3.59,-3.14,8,-3.5,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.9,66
67,2.24,-0.06,3.64,-3.27,7,-4.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.8,66
68,2.27,-0.06,3.7,-3.23,7,-6.8,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,65
69,2.3,-0.06,3.76,-3.17,7,-8.4,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,63
70,2.34,-0.07,3.8,-3.05,6,-9.6,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,63
71,2.37,-0.07,3.84,-2.96,6,-10.6,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,63
72,2.4,-0.07,3.87,-2.89,5,-11.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,63
73,2.44,-0.07,3.91,-2.81,5,-11.9,STEER RIGHT (HAZARD AHEAD),CRITICAL,4.4,63
74,2.47,-0.07,3.96,-2.82,5,-7.3,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.7,63
75,2.5,-0.08,4.02,-2.86,5,-3.7,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.7,63
76,2.54,-0.08,4.06,-2.93,5,-0.8,STEER LEFT (CLEAR CORRIDOR),CAUTION,6.8,62
77,2.57,-0.08,4.1,-2.98,5,-2.7,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.7,62
78,2.6,-0.08,4.15,-3.01,5,-4.1,STEER RIGHT (CLEAR CORRIDOR),CAUTION,6.7,62
79,2.64,-0.09,4.19,-3.0,5,-6.3,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.5,60
80,2.67,-0.09,4.24,-3.04,5,-8.0,STEER RIGHT (HAZARD AHEAD),CRITICAL,6.5,60
81,2.7,-0.09,4.29,-3.05,5,-3.1,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,60
82,2.74,-0.09,4.34,-3.04,5,0.6,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,60
83,2.77,-0.1,4.38,-3.18,5,3.6,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,59
84,2.8,-0.1,4.45,-3.16,6,5.9,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,59
85,2.84,-0.1,4.52,-3.22,6,7.7,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,59
86,2.87,-0.11,4.6,-3.17,7,9.0,STEER LEFT (HAZARD AHEAD),CRITICAL,4.4,58
